id,scaling_factor
FOODS_1_001_CA_1_validation,2.7648757943385327
FOODS_1_001_CA_2_validation,5.288272674754477
FOODS_1_001_CA_3_validation,10.082611207394569
FOODS_1_001_CA_4_validation,0.976891969959561
FOODS_1_001_TX_1_validation,3.6302715193529753
FOODS_1_001_TX_2_validation,2.2507221259387635
FOODS_1_001_TX_3_validation,1.2536106296938185
FOODS_1_001_WI_1_validation,1.4465626805314846
FOODS_1_001_WI_2_validation,1.3142692085499712
FOODS_1_001_WI_3_validation,0.6296938186019642
FOODS_1_002_CA_1_validation,1.0641247833622183
FOODS_1_002_CA_2_validation,1.8139803581744656
FOODS_1_002_CA_3_validation,0.7931831311380705
FOODS_1_002_CA_4_validation,0.8272674754477181
FOODS_1_002_TX_1_validation,0.3847487001733102
FOODS_1_002_TX_2_validation,0.5742345465049105
FOODS_1_002_TX_3_validation,0.7671865973425765
FOODS_1_002_WI_1_validation,2.4956672443674175
FOODS_1_002_WI_2_validation,0.9370306181398036
FOODS_1_002_WI_3_validation,0.9168110918544194
FOODS_1_003_CA_1_validation,2.657423454650491
FOODS_1_003_CA_2_validation,5.937608318890814
FOODS_1_003_CA_3_validation,3.3708838821490468
FOODS_1_003_CA_4_validation,1.978047371461583
FOODS_1_003_TX_1_validation,1.7469670710571923
FOODS_1_003_TX_2_validation,1.0398613518197575
FOODS_1_003_TX_3_validation,0.3535528596187175
FOODS_1_003_WI_1_validation,5.006354708261121
FOODS_1_003_WI_2_validation,1.707105719237435
FOODS_1_003_WI_3_validation,0.9404968226458694
FOODS_1_004_CA_1_validation,55.45538664904164
FOODS_1_004_CA_2_validation,36.01586252478519
FOODS_1_004_CA_3_validation,82.42300066093853
FOODS_1_004_CA_4_validation,8.235294117647058
FOODS_1_004_TX_1_validation,31.631196298744218
FOODS_1_004_TX_2_validation,36.61731658955717
FOODS_1_004_TX_3_validation,32.50760079312624
FOODS_1_004_WI_1_validation,47.21744877726371
FOODS_1_004_WI_2_validation,75.49636483807006
FOODS_1_004_WI_3_validation,40.50627891606081
FOODS_1_005_CA_1_validation,4.557481224725592
FOODS_1_005_CA_2_validation,19.29578278451762
FOODS_1_005_CA_3_validation,13.063547082611207
FOODS_1_005_CA_4_validation,1.2894280762564991
FOODS_1_005_TX_1_validation,3.654534950895436
FOODS_1_005_TX_2_validation,7.428653957250145
FOODS_1_005_TX_3_validation,2.563835932986713
FOODS_1_005_WI_1_validation,2.362218370883882
FOODS_1_005_WI_2_validation,2.7625649913344885
FOODS_1_005_WI_3_validation,2.59156556903524
FOODS_1_006_CA_1_validation,5.1548238012709415
FOODS_1_006_CA_2_validation,6.101675332177932
FOODS_1_006_CA_3_validation,8.961294049682264
FOODS_1_006_CA_4_validation,3.6452917388792607
FOODS_1_006_TX_1_validation,1.6140958983246678
FOODS_1_006_TX_2_validation,2.266897746967071
FOODS_1_006_TX_3_validation,5.685153090699018
FOODS_1_006_WI_1_validation,6.0219526285384175
FOODS_1_006_WI_2_validation,4.726169844020797
FOODS_1_006_WI_3_validation,5.062391681109186
FOODS_1_008_CA_1_validation,1.000604960677556
FOODS_1_008_CA_2_validation,0.2235142118863049
FOODS_1_008_CA_3_validation,1.1125827814569536
FOODS_1_008_CA_4_validation,0.8173018753781004
FOODS_1_008_TX_1_validation,0.25
FOODS_1_008_TX_2_validation,0.7066492829204694
FOODS_1_008_TX_3_validation,0.35622895622895623
