id,item_id,weights
HOBBIES_1_001_CA_1_validation,1437,6.0013126530777924e-05
HOBBIES_1_002_CA_1_validation,1438,2.1183614504062277e-06
HOBBIES_1_003_CA_1_validation,1439,1.2678153164144072e-05
HOBBIES_1_004_CA_1_validation,1440,6.3134641514374e-05
HOBBIES_1_005_CA_1_validation,1441,2.9198170923483318e-05
HOBBIES_1_006_CA_1_validation,1442,4.354113207887863e-06
HOBBIES_1_007_CA_1_validation,1443,2.3125890493855388e-05
HOBBIES_1_008_CA_1_validation,1444,2.919817092348332e-05
HOBBIES_1_009_CA_1_validation,1445,1.1805729745651835e-05
HOBBIES_1_010_CA_1_validation,1446,1.5055306882421084e-05
HOBBIES_1_011_CA_1_validation,1447,9.284506105055002e-07
HOBBIES_1_012_CA_1_validation,1448,8.69755456967796e-06
HOBBIES_1_013_CA_1_validation,1449,7.358237884408533e-06
HOBBIES_1_014_CA_1_validation,1450,1.2998308547076999e-05
HOBBIES_1_015_CA_1_validation,1451,1.4753827230159241e-05
HOBBIES_1_016_CA_1_validation,1452,3.156198483413813e-05
HOBBIES_1_017_CA_1_validation,1453,2.0601998891734113e-05
HOBBIES_1_018_CA_1_validation,1454,0.0
HOBBIES_1_019_CA_1_validation,1455,3.662577580752731e-05
HOBBIES_1_020_CA_1_validation,1456,2.029785127794783e-05
HOBBIES_1_021_CA_1_validation,1457,3.803445949243222e-05
HOBBIES_1_022_CA_1_validation,1458,2.490275286913317e-05
HOBBIES_1_023_CA_1_validation,1459,3.090299833760117e-05
HOBBIES_1_024_CA_1_validation,1460,6.8513251947647256e-06
HOBBIES_1_025_CA_1_validation,1461,1.9113276361095986e-05
HOBBIES_1_026_CA_1_validation,1462,3.35602880159445e-05
HOBBIES_1_027_CA_1_validation,1463,5.330587125833303e-05
HOBBIES_1_028_CA_1_validation,1464,4.045163263357586e-05
HOBBIES_1_029_CA_1_validation,1465,0.00011020815465161268
HOBBIES_1_030_CA_1_validation,1466,3.212225675427076e-05
HOBBIES_1_031_CA_1_validation,1467,2.0505952276854242e-05
HOBBIES_1_032_CA_1_validation,1468,1.2317978358344525e-05
HOBBIES_1_033_CA_1_validation,1469,2.249091565103841e-05
HOBBIES_1_034_CA_1_validation,1470,2.0746068814053937e-05
HOBBIES_1_035_CA_1_validation,1471,3.959254902270583e-06
HOBBIES_1_036_CA_1_validation,1472,8.366727340647269e-06
HOBBIES_1_037_CA_1_validation,1473,6.574657584680185e-05
HOBBIES_1_038_CA_1_validation,1474,1.374533777392051e-05
HOBBIES_1_039_CA_1_validation,1475,7.843806881856812e-06
HOBBIES_1_040_CA_1_validation,1476,9.688969072160274e-05
HOBBIES_1_041_CA_1_validation,1477,6.755278579884847e-06
HOBBIES_1_042_CA_1_validation,1478,3.342422197819801e-05
HOBBIES_1_043_CA_1_validation,1479,8.590836108700317e-06
HOBBIES_1_044_CA_1_validation,1480,5.528016278641944e-06
HOBBIES_1_045_CA_1_validation,1481,1.9758923050010734e-05
HOBBIES_1_046_CA_1_validation,1482,0.00013484944729135064
HOBBIES_1_047_CA_1_validation,1483,1.511133407443435e-05
HOBBIES_1_048_CA_1_validation,1484,5.6347347396195884e-05
HOBBIES_1_049_CA_1_validation,1485,2.733059785637455e-05
HOBBIES_1_050_CA_1_validation,1486,0.00017576530523017922
HOBBIES_1_051_CA_1_validation,1487,7.977204958078868e-06
HOBBIES_1_052_CA_1_validation,1488,9.412568258228175e-06
HOBBIES_1_053_CA_1_validation,1489,6.355084351218683e-06
HOBBIES_1_054_CA_1_validation,1490,1.5847691455180092e-06
HOBBIES_1_055_CA_1_validation,1491,0.0001509372552837304
HOBBIES_1_056_CA_1_validation,1492,9.780746948601041e-06
HOBBIES_1_057_CA_1_validation,1493,2.3435374030690563e-05
HOBBIES_1_058_CA_1_validation,1494,2.3531420645570434e-05
HOBBIES_1_060_CA_1_validation,1495,8.789599242271178e-05
HOBBIES_1_061_CA_1_validation,1496,1.5100662228336585e-06
HOBBIES_1_062_CA_1_validation,1497,1.2939613393539298e-06
HOBBIES_1_063_CA_1_validation,1498,5.83749981547711e-06
HOBBIES_1_064_CA_1_validation,1499,0.00018685868924880528
HOBBIES_1_065_CA_1_validation,1500,2.6039304478545065e-06
HOBBIES_1_066_CA_1_validation,1501,5.6694182394373215e-06
HOBBIES_1_067_CA_1_validation,1502,1.459908546174166e-05
HOBBIES_1_068_CA_1_validation,1503,3.361631520795777e-05
HOBBIES_1_069_CA_1_validation,1504,2.4707991677848958e-05
HOBBIES_1_070_CA_1_validation,1505,4.706284129114087e-06
HOBBIES_1_072_CA_1_validation,1506,1.3139710507872378e-05
HOBBIES_1_073_CA_1_validation,1507,2.0431249354169885e-05
HOBBIES_1_074_CA_1_validation,1508,2.4478546986747033e-05
HOBBIES_1_075_CA_1_validation,1509,1.867573067108765e-05
HOBBIES_1_076_CA_1_validation,1510,1.9217326860549195e-05
